0	-1	-1	1	0	0	2	1
1	-1	-1	1	0	0	2	1
2	0	1	2	2	1	5	2
3	0	2	3	5	2	11	9
4	1	2	3	5	2	19	19
5	1	3	4	11	9	22	25
6	2	3	5	11	9	39	72
7	0	4	4	19	19	31	49
8	2	4	5	19	19	27	35
9	1	5	5	22	25	77	215
10	2	8	7	27	35	50	116
11	1	7	5	31	49	35	58
12	8	11	10	35	58	39	72
13	6	12	15	39	72	50	116
14	5	11	9	48	115	137	359
15	10	13	22	50	116	181	530
16	3	8	8	61	182	65	188
17	3	16	11	65	188	226	706
18	4	9	8	77	215	344	1130
19	2	13	17	84	232	164	460
20	4	12	13	97	257	112	276
21	5	6	9	105	268	970	5108
22	0	13	16	109	272	868	4372
23	11	20	18	112	276	145	382
24	3	13	18	127	331	682	3390
25	10	14	16	137	359	427	1496
26	3	23	21	145	382	239	748
27	5	14	13	150	406	199	601
28	3	11	8	155	432	199	601
29	12	19	27	164	460	289	932
30	2	15	24	181	530	465	1639
31	1	27	14	199	601	277	872
32	1	28	9	199	601	385	1337
33	27	28	21	199	601	958	5017
34	7	11	9	216	685	349	1139
35	17	27	24	226	706	935	4876
36	12	26	31	239	748	535	2390
37	8	19	22	259	816	535	2390
38	3	5	7	273	861	392	1375
39	5	16	12	273	861	701	3478
40	13	31	29	277	872	856	4287
41	7	29	31	289	932	415	1426
42	2	17	13	305	1003	3538	30962
43	4	15	25	313	1026	1200	6965
44	17	29	38	322	1052	465	1639
45	10	18	15	344	1130	572	2626
46	14	15	31	347	1135	349	1139
47	34	46	40	349	1139	816	3952
48	2	18	10	385	1337	567	2610
49	2	32	11	385	1337	615	2893
50	18	32	17	385	1337	465	1639
51	9	38	12	392	1375	3047	26236
52	8	20	18	403	1407	1257	7543
53	9	34	14	412	1421	1981	13916
54	15	41	53	415	1426	495	1947
55	25	38	23	427	1496	7096	79787
56	30	44	62	465	1639	4874	46554
57	30	50	41	465	1639	2501	19997
58	44	50	55	465	1639	501	1986
59	6	16	13	485	1907	1782	11710
60	12	54	63	495	1947	1224	7152
61	14	58	64	501	1986	1149	6593
62	36	37	53	535	2390	816	3952
63	5	48	14	567	2610	2309	17532
64	15	23	40	572	2626	1257	7543
65	15	45	37	572	2626	2251	17089
66	23	45	33	572	2626	1149	6593
67	9	29	32	604	2816	2251	17089
68	9	37	27	604	2816	793	3850
69	29	37	49	604	2816	625	2925
70	28	49	19	615	2893	1066	5696
71	30	69	73	625	2925	659	3183
72	3	71	76	659	3183	1085	5845
73	8	24	23	682	3390	819	3978
74	39	71	85	701	3478	3896	34271
75	10	48	17	738	3663	2309	17532
76	7	71	77	756	3702	892	4536
77	6	15	27	787	3837	1000	5371
78	2	68	29	793	3850	1656	10801
79	47	62	93	816	3952	1544	9821
80	6	73	28	819	3978	4194	38013
81	36	40	60	856	4287	1719	11277
82	22	31	30	868	4372	981	5186
83	32	76	86	892	4536	2334	17744
84	10	35	31	935	4876	1200	6965
85	38	46	38	948	4941	2042	14840
86	33	48	31	958	5017	1962	13701
87	21	35	33	970	5108	973	5128
88	24	87	51	973	5128	1254	7536
89	48	82	40	981	5186	1081	5818
90	73	77	50	1000	5371	63741	1513669
91	0	54	54	1040	5597	1985	14038
92	14	26	30	1064	5694	1305	8039
93	62	70	72	1066	5696	2434	19225
94	25	89	56	1081	5818	1085	5845
95	72	94	132	1085	5845	1492	9286
96	28	62	61	1143	6565	1451	8981
97	61	66	97	1149	6593	1363	8318
98	43	84	56	1200	6965	3358	29492
99	7	15	26	1216	7122	1580	10241
100	60	61	127	1224	7152	1787	11740
101	34	88	60	1254	7536	1981	13916
102	52	64	58	1257	7543	1766	11590
103	21	27	22	1277	7780	1673	10898
104	26	44	59	1285	7881	3989	35214
105	4	92	33	1305	8039	23317	414456
106	23	48	28	1331	8200	1363	8318
107	19	20	30	1344	8259	1437	8893
108	97	106	125	1363	8318	2084	15143
109	5	34	13	1420	8851	22491	398160
110	19	23	35	1431	8874	5483	54283
111	17	107	41	1437	8893	1782	11710
112	44	96	99	1451	8981	3675	31926
113	18	64	48	1484	9248	1916	12949
114	50	95	149	1492	9286	1916	12949
115	14	92	39	1538	9769	1995	14209
116	8	79	98	1544	9821	14302	205655
117	29	60	90	1574	10186	1673	10898
118	35	99	50	1580	10241	2164	15979
119	0	62	54	1613	10574	2042	14840
120	35	45	39	1622	10623	4936	47663
121	24	50	35	1642	10746	6610	72314
122	49	50	28	1650	10788	3107	26782
123	0	78	30	1656	10801	1995	14209
124	103	117	112	1673	10898	2164	15979
125	3	106	31	1691	11043	2715	22911
126	33	81	81	1719	11277	2555	21005
127	10	102	65	1766	11590	55854	1278516
128	59	111	54	1782	11710	2323	17609
129	21	100	136	1787	11740	2202	16454
130	30	47	64	1854	12532	2570	21181
131	30	94	80	1854	12532	2826	23899
132	47	94	96	1854	12532	2610	21693
133	113	114	197	1916	12949	4290	38894
134	26	111	62	1936	13300	3693	32062
135	0	102	59	1955	13610	3748	32696
136	49	86	42	1962	13701	7529	85637
137	53	101	74	1981	13916	18812	307090
138	12	91	64	1985	14038	4730	43339
139	115	123	69	1995	14209	2955	25298
140	85	119	92	2042	14840	3017	25950
141	99	108	151	2084	15143	2501	19997
142	36	94	87	2088	15205	2885	24299
143	27	37	35	2115	15579	2323	17609
144	118	124	162	2164	15979	4874	46554
145	2	129	138	2202	16454	2476	19698
146	65	67	69	2251	17089	3866	33812
147	69	113	97	2270	17220	2362	18175
148	63	75	31	2309	17532	2955	25298
149	128	143	89	2323	17609	4076	36465
150	28	79	101	2334	17744	2715	22911
151	28	83	94	2334	17744	2631	21991
152	79	83	179	2334	17744	6597	72109
153	50	147	114	2362	18175	40543	827311
154	50	99	43	2389	18745	3203	27609
155	24	43	43	2431	19215	3386	29760
156	44	93	110	2434	19225	5286	51746
157	3	145	141	2476	19698	6307	65837
158	57	141	192	2501	19997	3463	30139
159	33	126	102	2555	21005	2885	24299
160	28	130	72	2570	21181	18240	295475
161	35	129	160	2601	21582	8095	94361
162	29	132	123	2610	21693	6831	76201
163	71	151	167	2631	21991	63429	1499293
164	28	65	45	2676	22642	18703	304569
165	13	82	45	2703	22826	2763	23456
166	125	150	132	2715	22911	5384	53162
167	7	165	49	2763	23456	3182	27484
168	59	82	43	2792	23680	23783	421929
169	16	131	88	2826	23899	3250	28059
170	17	115	50	2869	24197	4272	38721
171	142	159	189	2885	24299	21129	362204
