0	-1	-1	1	0	0	2	1
1	-1	-1	1	0	0	2	1
2	0	1	2	2	1	5	2
3	0	2	3	5	2	14	15
4	1	2	3	5	2	8	5
5	2	4	5	8	5	29	31
6	0	3	4	14	15	36	51
7	1	4	4	17	19	50	81
8	0	4	4	22	25	29	31
9	3	4	6	22	25	55	89
10	4	5	8	29	31	88	222
11	4	8	7	29	31	444	1924
12	5	8	9	29	31	55	89
13	1	6	5	36	51	44	61
14	1	13	6	44	61	124	364
15	6	13	9	44	61	73	182
16	7	8	8	50	81	88	222
17	9	12	15	55	89	65	123
18	7	17	19	65	123	585	2883
19	6	15	13	73	182	469	2193
20	6	7	8	75	190	106	288
21	2	15	11	80	199	133	392
22	10	16	16	88	222	121	345
23	9	15	15	93	247	219	779
24	6	20	12	106	288	118	323
25	7	20	12	106	288	164	530
26	10	13	13	115	312	147	471
27	8	24	16	118	323	469	2193
28	15	22	25	121	345	172	557
29	5	14	11	124	364	341	1261
30	7	21	15	133	392	464	2179
31	4	10	11	142	430	635	3290
32	7	26	17	147	471	405	1731
33	25	26	25	164	530	201	682
34	14	28	31	172	557	1499	10911
35	8	20	12	192	664	240	841
36	12	33	34	201	682	306	1018
37	3	23	18	219	779	799	4444
38	13	23	20	236	831	3109	28854
39	16	35	20	240	841	388	1671
40	4	21	14	256	883	282	957
41	5	28	30	259	885	306	1018
42	9	40	20	282	957	347	1275
43	6	24	16	298	1002	1363	9605
44	12	35	21	304	1014	1208	7738
45	36	41	64	306	1018	347	1275
46	2	29	13	341	1261	1499	10911
47	42	45	84	347	1275	444	1924
48	4	23	18	361	1519	543	2664
49	1	28	26	368	1558	597	2940
50	16	39	28	388	1671	423	1804
51	17	32	32	405	1731	493	2400
52	39	50	48	423	1804	657	3358
53	5	42	25	432	1867	871	4969
54	11	47	91	444	1924	3106	28827
55	25	30	27	464	2179	992	5949
56	19	27	29	469	2193	894	5183
57	22	51	48	493	2400	762	4126
58	21	39	31	496	2420	543	2664
59	15	21	20	504	2488	591	2901
60	17	36	49	532	2618	657	3358
61	48	58	49	543	2664	698	3715
62	18	50	47	585	2883	597	2940
63	22	59	36	591	2901	1756	13925
64	49	62	73	597	2940	3040	28342
65	1	31	12	635	3290	1133	6898
66	52	60	97	657	3358	1322	8985
67	29	59	31	681	3612	1375	9738
68	42	52	68	696	3703	6681	77338
69	18	61	68	698	3715	1068	6296
70	3	51	35	707	3789	2926	26915
71	18	36	53	714	3858	857	4831
72	20	59	28	750	4087	3001	27881
73	1	30	16	760	4123	4932	54648
74	57	62	95	762	4126	1356	9458
75	8	19	17	766	4163	901	5248
76	28	59	45	788	4330	812	4555
77	37	61	67	799	4444	1068	6296
78	26	76	58	812	4555	1322	8985
79	25	59	32	815	4558	1285	8726
80	32	39	37	849	4793	1666	12743
81	33	71	78	857	4831	1124	6756
82	33	53	50	871	4969	3529	34406
83	6	53	29	873	4970	1133	6898
84	56	57	77	894	5183	1812	14502
85	5	75	22	901	5248	1375	9738
86	47	48	102	932	5471	4621	49977
87	47	50	112	932	5471	1164	7137
88	48	50	46	932	5471	2755	25492
89	24	35	24	965	5792	1423	10200
90	5	52	53	976	5845	20117	333435
91	48	55	45	992	5949	12267	175086
92	0	56	30	1020	6158	1947	16151
93	12	32	26	1033	6196	1610	12381
94	29	52	59	1049	6234	1742	13782
95	69	77	135	1068	6296	6081	68696
96	21	81	89	1124	6756	1911	15774
97	65	83	41	1133	6898	1164	7137
98	87	97	153	1164	7137	1208	7738
99	44	98	174	1208	7738	2258	18954
100	47	49	110	1223	8114	28590	533587
101	52	79	80	1285	8726	2296	19806
102	9	62	53	1289	8737	5908	67173
103	66	78	155	1322	8985	2404	21001
104	14	24	18	1341	9338	23129	405263
105	40	65	26	1354	9454	2148	17998
106	7	74	99	1356	9458	1459	10491
107	43	50	44	1363	9605	2898	26719
108	67	85	53	1375	9738	2451	21634
109	24	89	36	1423	10200	1742	13782
110	4	47	87	1426	10204	1524	11156
111	57	59	68	1452	10449	2313	20018
112	52	106	147	1459	10491	1668	12744
113	34	46	44	1499	10911	1648	12598
114	0	57	49	1505	10961	1553	11453
115	47	110	171	1524	11156	1553	11453
116	114	115	220	1553	11453	2088	17149
117	1	93	27	1610	12381	2181	18304
118	8	12	13	1621	12452	27817	520032
119	7	113	48	1648	12598	6565	75626
120	47	80	121	1666	12743	2258	18954
121	62	112	194	1668	12744	2679	24641
122	61	97	90	1715	13553	2181	18304
123	6	57	52	1718	13574	1841	14951
124	94	109	95	1742	13782	7251	86183
125	21	63	47	1756	13925	1819	14562
126	6	87	116	1760	13986	2478	21842
127	84	112	224	1812	14502	6836	78911
128	57	125	95	1819	14562	1952	16163
129	69	123	120	1841	14951	228444	8366202
130	23	61	64	1875	15501	2618	24012
131	61	96	138	1911	15774	3109	28854
132	43	92	46	1947	16151	1950	16161
133	49	132	72	1950	16161	13515	197204
134	6	128	99	1952	16163	4790	52543
135	9	114	55	2021	16891	2618	24012
136	34	109	67	2061	17047	11040	153904
137	116	132	266	2088	17149	2478	21842
138	29	39	31	2144	17969	2296	19806
139	27	105	42	2148	17998	4268	45786
140	117	122	117	2181	18304	8829	115637
141	45	84	141	2217	18647	7090	83967
142	24	51	44	2245	18842	9449	126138
143	99	120	295	2258	18954	3884	39411
144	101	138	111	2296	19806	3365	32816
145	50	111	96	2313	20018	2803	25859
146	32	123	69	2352	20544	3190	30197
147	20	78	66	2372	20733	5638	64428
148	3	103	158	2404	21001	5554	62817
149	50	108	81	2451	21634	4036	43024
150	126	137	382	2478	21842	3895	39726
151	103	108	208	2542	22998	5145	57137
152	40	106	113	2586	23658	2919	26849
153	130	135	119	2618	24012	9790	131985
154	1	121	195	2679	24641	3276	31496
155	35	85	34	2711	25201	6266	71226
156	53	88	71	2755	25492	2795	25769
157	111	128	163	2786	25675	4932	54648
158	31	156	82	2795	25769	5902	67138
159	24	145	108	2803	25859	3476	33966
160	37	94	77	2859	26505	2919	26849
161	28	107	69	2898	26719	3106	28827
162	152	160	190	2919	26849	4559	49146
163	70	128	130	2926	26915	9887	133533
164	41	111	98	2989	27751	23326	412038
165	6	39	24	2994	27805	11243	157625
166	72	110	115	3001	27881	6215	70519
167	24	31	23	3004	27913	3365	32816
168	18	64	92	3040	28342	44842	951478
169	5	72	33	3101	28800	5089	56621
170	54	161	160	3106	28827	9403	125431
171	38	131	158	3109	28854	19429	317811
172	24	78	70	3161	29785	3634	35812
