0	20367920	local32	1	1882	340	22	27	32	56	795
0	20367920	global8192	1	106849	8192	148	171	220	309	16008
1	20367921	local32	1	2567	400	23	20	32	57	1522
1	20367921	global8192	1	97536	8192	166	149	215	329	9293
2	20367922	local32	1	2040	278	25	26	32	47	371
2	20367922	global8192	1	129719	8192	183	171	236	270	13742
3	20367923	local32	1	2745	428	23	25	32	62	782
3	20367923	global8192	1	97459	8192	146	154	199	324	14736
4	20367924	local32	1	1524	281	19	25	32	51	476
4	20367924	global8192	1	102449	8192	154	168	214	326	14634
5	20367925	local32	1	1873	382	24	25	32	59	626
5	20367925	global8192	1	89282	8192	145	152	197	349	13789
6	20367926	local32	1	1466	268	27	26	32	47	715
6	20367926	global8192	1	96805	8192	179	177	234	321	8358
7	20367927	local32	1	1407	294	19	25	32	57	728
7	20367927	global8192	1	101041	8192	139	142	187	340	16876
8	20367928	local32	1	1772	328	26	20	32	52	1223
8	20367928	global8192	1	102272	8192	168	156	218	322	6809
9	20367929	local32	1	1690	311	22	19	32	53	1392
9	20367929	global8192	1	98837	8192	161	158	222	315	8186
10	20367930	local32	1	2606	462	23	24	32	62	611
10	20367930	global8192	1	98128	8192	160	153	193	317	9149
11	20367931	local32	1	1317	270	23	26	32	45	256
11	20367931	global8192	1	124290	8192	166	167	229	297	31299
12	20367932	local32	1	1778	338	25	21	32	56	969
12	20367932	global8192	1	109037	8192	162	158	212	323	59064
13	20367933	local32	1	2622	479	26	27	32	59	1422
13	20367933	global8192	1	98365	8192	172	161	217	298	11010
14	20367934	local32	1	925	237	23	26	32	49	1247
14	20367934	global8192	1	101045	8192	167	173	228	327	20836
15	20367935	local32	1	839	209	21	25	32	43	293
15	20367935	global8192	1	94648	8192	156	165	218	320	10585
16	20367936	local32	1	1685	343	26	24	32	57	1947
16	20367936	global8192	1	79779	8192	157	155	204	356	15582
17	20367937	local32	1	1708	302	20	24	32	48	707
17	20367937	global8192	1	107079	8192	178	173	238	322	32904
18	20367938	local32	1	2048	303	27	23	32	55	974
18	20367938	global8192	1	101137	8192	172	163	224	317	14162
19	20367939	local32	1	814	209	26	22	32	40	456
19	20367939	global8192	1	107146	8192	163	163	224	297	5983
20	20367940	local32	1	1052	217	26	27	32	46	168
20	20367940	global8192	1	92576	8192	160	160	209	317	13065
21	20367941	local32	1	2067	332	22	27	32	57	992
21	20367941	global8192	1	113805	8192	171	176	230	287	11584
22	20367942	local32	1	575	160	22	25	32	41	438
22	20367942	global8192	1	95523	8192	186	172	239	333	15870
23	20367943	local32	1	1972	348	26	23	32	56	933
23	20367943	global8192	1	129932	8192	165	162	216	304	36413
24	20367944	local32	1	1549	236	28	20	32	44	906
24	20367944	global8192	1	115302	8192	190	191	245	294	13563
25	20367945	local32	1	1654	356	25	26	32	55	393
25	20367945	global8192	1	88457	8192	151	158	202	325	10180
26	20367946	local32	1	1332	277	24	24	32	53	522
26	20367946	global8192	1	99586	8192	168	155	212	339	9387
27	20367947	local32	1	2069	389	26	20	32	62	1211
27	20367947	global8192	1	106112	8192	156	155	215	314	17593
28	20367948	local32	1	902	182	21	25	32	43	529
28	20367948	global8192	1	108884	8192	177	192	244	322	12851
29	20367949	local32	1	2701	457	20	28	32	62	2091
29	20367949	global8192	1	110415	8192	164	172	224	309	10086
30	20367950	local32	1	1505	335	20	24	32	60	379
30	20367950	global8192	1	88482	8192	157	161	214	355	18993
31	20367951	local32	1	1025	202	25	24	32	43	626
31	20367951	global8192	1	105557	8192	172	172	228	320	23682
