0 5503826 3890760512 649858187 4194304 10790
-1 -1 1 0 0 2 1
-1 -1 1 0 0 2 1
0 1 2 2 1 5 2
0 2 3 5 2 10 11
1 2 3 5 2 16 25
1 3 4 10 11 12 14
0 5 5 12 14 58 285
4 5 7 16 25 34 81
0 3 4 31 80 164 1015
3 4 6 34 81 50 209
3 7 10 34 81 58 285
4 7 10 34 81 39 115
4 11 13 39 115 50 209
9 12 19 50 209 154 935
6 10 15 58 285 120 712
7 12 20 76 450 109 578
5 9 10 92 531 189 1228
12 15 33 109 578 331 2192
14 15 35 120 712 312 1939
1 13 20 154 935 214 1433
1 11 11 160 961 176 1141
8 10 14 164 1015 197 1289
3 20 14 176 1141 353 2489
4 16 13 189 1228 1878 18305
5 21 18 197 1289 823 6203
4 19 23 214 1433 485 3729
2 4 5 217 1474 952 7547
5 12 17 263 1776 470 3653
1 4 4 276 1800 331 2192
1 8 5 276 1800 541 4129
4 8 7 276 1800 632 4755
13 19 39 287 1845 965 7604
6 8 9 291 1856 568 4310
9 18 41 312 1939 350 2461
17 28 37 331 2192 1086 8851
15 33 61 350 2461 5288 76181
9 22 20 353 2489 568 4310
7 15 27 370 2775 2246 21479
9 13 25 372 2841 541 4129
14 16 25 438 3417 1086 8851
1 18 36 444 3452 1027 8298
5 27 21 470 3653 976 7771
21 25 37 485 3729 834 6366
10 20 21 527 4075 6557 99108
29 38 30 541 4129 653 4921
32 36 29 568 4310 1315 12045
11 27 27 628 4736 1441 13380
27 30 24 632 4755 644 4855
7 47 31 644 4855 1601 15111
11 44 40 653 4921 823 6203
22 38 39 701 5365 757 5699
4 50 42 757 5699 1315 12045
10 27 27 771 5815 2546 24591
24 49 58 823 6203 3600 41274
21 42 51 834 6366 1391 12732
9 25 29 893 7086 1614 15229
18 47 59 897 7093 3023 30597
26 29 10 952 7547 1428 13281
19 31 59 965 7604 1713 16651
11 49 50 967 7609 1139 9605
4 41 24 976 7771 1511 13940
0 40 37 1027 8298 1139 9605
7 36 27 1034 8363 5949 87057
34 39 62 1086 8851 2853 28279
15 42 57 1091 8911 1167 10164
21 44 44 1115 9307 3117 31856
59 61 87 1139 9605 3161 33167
29 44 35 1155 9981 1523 14104
7 64 64 1167 10164 5960 87404
28 50 43 1201 10913 6204 92811
45 51 71 1315 12045 4209 53811
5 34 41 1389 12731 12901 249969
34 54 88 1391 12732 2003 19002
4 57 13 1428 13281 1766 17409
8 46 31 1441 13380 2181 20494
27 60 41 1511 13940 2398 23186
27 61 54 1511 13940 2886 28738
60 61 61 1511 13940 1653 15825
50 67 74 1523 14104 2258 21570
2 36 22 1548 14511 3782 44850
0 57 11 1576 14936 2119 20075
28 48 35 1601 15111 18288 409678
55 61 66 1614 15229 3431 38294
27 77 78 1653 15825 31432 855183
22 58 73 1713 16651 2650 25510
2 73 15 1766 17409 5198 75327
9 55 35 1810 17817 9826 181983
14 24 33 1833 17981 1962 18794
0 61 38 1871 18252 6193 92730
23 27 30 1878 18305 2977 30006
23 87 46 1962 18794 97952 4044820
34 72 125 2003 19002 5596 81016
77 80 72 2119 20075 2181 20494
74 92 103 2181 20494 259572 14708778
12 37 40 2246 21479 10842 204832
37 78 101 2258 21570 2757 26704
30 77 68 2323 22467 4309 57472
31 73 52 2341 22673 8101 131737
73 75 54 2398 23186 32377 889757
26 60 29 2414 23376 40534 1196496
23 78 87 2437 23641 3161 33167
14 80 26 2499 24306 3358 37232
37 52 54 2546 24591 5689 82927
11 34 47 2575 24874 6600 100019
18 25 58 2577 24876 4646 66120
21 58 73 2618 25312 3600 41274
5 84 77 2650 25510 4827 69614
78 92 146 2716 26274 3117 31856
22 95 115 2757 26704 5391 77019
15 22 34 2823 27843 7465 117984
19 63 82 2853 28279 4720 67582
38 46 52 2884 28723 9129 160328
55 76 83 2886 28738 3431 38294
5 54 55 2938 29585 3723 43932
21 89 44 2977 30006 11582 218608
56 95 160 3023 30597 3543 40070
11 38 35 3104 31757 4065 51349
65 107 190 3117 31856 4520 62087
66 100 174 3161 33167 15374 329349
1 100 88 3166 33280 7222 111622
11 66 97 3281 36056 12621 244649
23 39 38 3354 37207 6180 92572
78 101 100 3358 37232 8207 135192
54 66 138 3399 37794 4144 52555
82 112 149 3431 38294 4887 70642
38 45 54 3483 39356 23463 570256
17 115 193 3543 40070 3983 49063
44 58 89 3596 41215 3917 47964
53 105 131 3600 41274 7940 128850
56 113 114 3723 43932 9143 160695
21 112 97 3746 44388 3782 44850
49 107 186 3763 44585 15374 329349
79 130 119 3782 44850 10164 188578
34 60 61 3848 46755 7635 121964
113 127 144 3917 47964 9096 159681
10 32 19 3966 48740 5226 75553
14 126 208 3983 49063 4209 53811
56 116 94 4065 51349 37895 1090242
25 32 32 4116 52134 4422 59948
9 123 144 4144 52555 42864 1288993
70 136 279 4209 53811 13543 268297
82 84 139 4219 54200 5874 85415
16 96 78 4309 57472 9761 180762
56 92 131 4373 58962 50117 1596532
31 53 97 4412 59757 6960 107246
115 138 192 4422 59948 7438 117253
47 126 217 4454 60540 108128 4571389
12 117 203 4520 62087 8152 133098
6 117 195 4522 62098 22833 552913
59 104 108 4646 66120 5396 77205
31 38 64 4655 66353 4720 67582
110 150 146 4720 67582 142416 6671998
106 116 112 4827 69614 28554 737487
1 124 150 4887 70642 6492 97497
0 92 73 4923 71455 151174 7269487
23 67 48 5060 73633 12837 248920
46 126 220 5069 73671 6733 103130
15 85 35 5198 75327 18236 408647
54 135 70 5226 75553 115641 4993764
21 37 41 5276 76052 7438 117253
0 35 62 5288 76181 6308 94600
27 108 132 5391 77019 34540 965503
52 149 135 5396 77205 8862 155274
31 136 247 5477 78624 8101 131737
50 130 136 5487 78746 15619 336149
11 56 69 5554 80137 7222 111622
29 55 34 5556 80141 9233 162769
19 91 145 5596 81016 42820 1287076
102 106 131 5689 82927 22833 552913
30 96 75 5821 84917 6628 100520
136 141 347 5874 85415 32476 892489
62 117 217 5949 87057 9271 163700
68 107 210 5960 87404 10455 196186
12 84 86 6020 89285 14526 302008
34 102 91 6065 90628 14728 308756
68 121 102 6180 92572 14057 288210
31 88 77 6193 92730 9474 172727
34 69 80 6204 92811 23331 566961
5 160 66 6308 94600 18709 420517
14 117 205 6343 95050 9319 166113
110 136 290 6423 96092 7193 110927
6 59 55 6438 96342 15227 325003
46 153 177 6492 97497 10992 206727
102 127 143 6538 98591 12901 249969
43 123 159 6557 99108 13626 272769
32 103 56 6600 100019 16305 356649
103 169 122 6628 100520 7036 108562
156 169 295 6733 103130 8579 147932
80 144 108 6960 107246 16430 359971
64 67 92 6980 107538 12148 229531
12 186 135 7036 108562 18709 420517
69 135 62 7079 109266 18998 432314
12 73 26 7149 110433 9129 160328
12 180 303 7193 110927 8229 136091
119 165 157 7222 111622 7563 120124
31 70 110 7253 112798 13535 268134
3 59 53 7303 114212 7748 124758
42 49 77 7334 115345 36231 1033131
30 53 65 7363 115791 35804 1022461
145 159 233 7438 117253 16841 369053
34 109 71 7465 117984 14377 297600
12 194 170 7563 120124 12082 227879
108 119 203 7621 121661 7739 124422
133 135 80 7635 121964 12026 227052
49 202 243 7739 124422 10992 206727
62 196 80 7748 124758 10455 196186
78 108 189 7752 124909 11420 214765
