6 186 24 369 128 29
-1 -1 1 0 0 2 1
-1 -1 1 0 0 2 1
0 1 2 2 1 5 2
0 2 3 5 2 12 7
1 2 3 5 2 19 18
1 3 4 12 7 33 48
2 3 5 12 7 24 27
2 4 5 19 18 72 150
3 4 6 19 18 29 35
0 3 4 24 27 108 302
0 6 6 24 27 62 135
3 6 8 24 27 33 48
4 8 9 29 35 78 186
5 11 12 33 48 45 90
3 13 15 45 90 0 0
3 5 7 52 120 0 0
5 10 10 62 135 72 150
1 8 7 64 136 99 238
4 10 9 70 149 97 236
7 16 15 72 150 0 0
2 12 11 78 186 99 238
0 11 9 97 236 0 0
0 18 10 97 236 0 0
11 18 17 97 236 0 0
17 20 18 99 238 0 0
9 12 13 108 302 0 0
2 9 6 113 325 0 0
12 16 19 121 344 0 0
6 20 16 127 363 0 0
3 2 3 5 3 2 3 6
