0 7973206 3698954600 617890535 4194304 11263
-1 -1 1 0 0 2 1
-1 -1 1 0 0 2 1
0 1 2 2 1 5 2
0 2 3 5 2 26 41
1 2 3 5 2 15 14
1 4 4 15 14 28 54
2 4 5 15 14 23 35
4 6 8 23 35 79 223
3 4 6 26 41 62 172
3 5 7 28 54 50 123
1 5 5 35 75 128 438
5 9 11 50 123 258 917
1 8 7 62 172 252 898
7 8 14 79 223 105 316
4 13 17 105 316 283 1011
9 13 21 116 386 929 6425
4 10 8 128 438 155 525
2 10 7 153 520 187 683
4 16 11 155 525 173 608
1 13 15 170 588 317 1287
5 18 15 173 608 498 2807
1 17 8 187 683 626 3712
6 17 12 220 818 35031 985071
16 18 19 238 859 358 1658
2 12 9 252 898 283 1011
0 11 12 258 917 1064 7752
6 7 13 266 942 444 2410
2 11 13 276 988 808 4943
14 24 26 283 1011 473 2550
19 24 24 317 1287 331 1386
16 29 32 331 1386 372 1770
23 24 28 358 1658 662 4006
7 30 40 372 1770 3520 52813
18 23 30 402 2177 1619 13216
10 18 16 413 2240 4597 73373
2 26 15 444 2410 569 3217
17 19 22 468 2522 1743 15556
8 28 32 473 2550 2319 22480
16 20 23 498 2807 569 3217
5 28 30 503 2818 1743 15556
13 18 25 530 3011 590 3457
8 24 15 564 3186 3061 40377
35 38 38 569 3217 842 5350
0 40 26 590 3457 6230 103188
21 28 34 626 3712 1612 13175
0 3 4 651 3945 811 4954
5 31 32 662 4006 1278 9809
9 23 26 669 4057 2595 28154
1 19 16 717 4395 734 4487
18 48 27 734 4487 811 4954
2 19 17 765 4682 1850 16566
20 29 39 768 4689 4913 78614
4 26 16 793 4877 929 6425
27 48 29 808 4943 955 6708
45 49 31 811 4954 2615 28550
11 30 43 815 4968 842 5350
7 19 23 819 5001 1547 12332
42 55 81 842 5350 1064 7752
15 52 37 929 6425 1107 8439
48 53 45 955 6708 1850 16566
12 55 50 960 6762 2882 36730
49 55 70 964 6782 2166 20257
25 57 93 1064 7752 1333 10323
31 58 65 1107 8439 1508 11827
6 8 11 1182 9299 17129 398213
6 35 20 1211 9437 245420 13531389
27 45 17 1249 9611 12923 263230
6 52 21 1251 9612 1500 11749
6 55 48 1254 9646 1619 13216
1 27 14 1262 9713 2474 26499
28 46 58 1278 9809 2474 26499
6 62 98 1333 10323 1646 13740
2 18 13 1348 10605 53814 1677624
3 25 15 1481 11693 3752 57368
24 67 30 1500 11749 1547 12332
4 63 68 1508 11827 2004 18076
4 46 35 1524 12032 1946 17313
56 74 53 1547 12332 3631 54847
44 45 38 1612 13175 3945 61735
33 68 78 1619 13216 3520 52813
26 71 111 1646 13740 2969 38324
2 46 34 1731 15451 6055 100631
36 39 52 1743 15556 2055 18705
50 59 62 1850 16566 5179 82645
4 25 15 1901 17050 5207 83314
2 74 32 1934 17230 2319 22480
15 26 34 1946 17313 2325 22660
15 76 56 1946 17313 2210 20847
26 76 48 1946 17313 2615 28550
39 46 62 1975 17761 3061 40377
9 75 75 2004 18076 2279 21786
0 82 53 2055 18705 2748 33301
30 39 62 2061 18878 2279 21786
12 21 15 2097 19383 2166 20257
3 53 32 2131 19829 2979 38554
61 93 85 2166 20257 2314 22402
19 87 71 2210 20847 6532 111321
90 92 137 2279 21786 2595 28154
39 95 115 2314 22402 3081 40793
11 37 43 2319 22480 3337 47618
11 85 43 2319 22480 4749 75552
37 85 64 2319 22480 3334 47540
75 86 102 2325 22660 2741 33028
21 71 106 2358 23732 2615 28550
69 70 72 2474 26499 5966 98585
47 97 163 2595 28154 3234 44684
54 88 79 2615 28550 3334 47540
54 103 137 2615 28550 8149 139101
88 103 154 2615 28550 3861 59303
15 71 119 2668 30599 5179 82645
47 50 43 2729 32689 4533 72556
93 102 117 2741 33028 4876 77874
69 91 67 2748 33301 4669 74288
36 82 74 2814 35340 2984 38585
60 97 187 2882 36730 18682 439415
0 5 5 2914 37580 3081 40793
59 80 156 2969 38324 3306 46940
35 94 47 2979 38554 5720 93039
36 113 96 2984 38585 4153 65382
41 89 77 3061 40377 3631 54847
98 115 120 3081 40793 3166 42738
27 88 61 3155 42376 5673 92213
12 120 127 3166 42738 4153 65382
8 105 169 3234 44684 3836 58687
36 45 26 3290 46527 4533 72556
29 116 180 3306 46940 4334 68514
101 106 143 3334 47540 12072 238923
93 99 58 3337 47618 5053 80675
88 92 110 3432 50809 5704 92657
92 93 77 3493 52142 6396 108058
32 79 118 3520 52813 12095 239473
38 99 66 3555 53514 7425 125707
101 105 227 3626 54731 10999 213667
77 119 130 3631 54847 33439 921713
71 73 113 3752 57368 9224 164720
76 123 204 3836 58687 8854 153459
108 115 159 3861 59303 14856 321764
25 78 50 3945 61735 5027 80335
4 75 71 3968 62302 7031 119748
48 85 48 4041 63995 9042 160326
58 91 90 4120 64986 8028 136670
118 122 223 4153 65382 9609 173487
39 86 64 4281 67902 4597 73373
38 82 75 4323 68380 5784 94525
91 125 233 4334 68514 6237 103317
35 99 58 4364 69175 4980 79574
14 58 54 4423 70523 5363 86486
2 82 54 4456 71177 5520 89298
29 92 86 4482 71655 7747 131078
110 124 69 4533 72556 5704 92657
34 142 80 4597 73373 6799 116811
75 112 135 4669 74288 4749 75552
100 151 178 4749 75552 41017 1193637
89 111 179 4876 77874 73533 2542737
0 51 40 4913 78614 10298 196317
29 145 82 4980 79574 13643 281360
48 137 66 5027 80335 7744 131040
2 127 60 5053 80675 12042 238253
69 127 72 5132 81955 6396 108058
4 113 77 5160 82371 7284 123455
83 109 181 5179 82645 13416 276408
84 122 142 5207 83314 6532 111321
95 113 159 5228 83793 6237 103317
142 146 118 5363 86486 15007 327434
70 102 160 5426 87714 8965 157941
41 87 71 5430 87740 5950 98294
85 122 159 5513 89184 16061 365711
78 147 92 5520 89298 14553 311214
47 80 137 5590 90535 8149 139101
115 121 66 5673 92213 6210 102995
57 82 133 5698 92593 13707 283527
128 149 179 5704 92657 10316 196564
7 117 55 5720 93039 14781 319301
50 67 38 5725 93154 6055 100631
50 70 75 5754 93839 18434 433114
84 143 90 5784 94525 128691 5446039
49 70 85 5794 94705 10488 201333
28 145 84 5822 95538 5966 98585
21 32 48 5895 97152 23828 594782
4 165 74 5950 98294 8515 147211
104 177 156 5966 98585 18622 437767
16 115 13 6040 100391 8134 138754
81 173 72 6055 100631 9443 169800
23 120 139 6150 102061 10316 196564
44 55 77 6183 102547 8384 144758
18 169 77 6210 102995 9754 180013
43 137 76 6230 103188 9224 164720
144 162 392 6237 103317 101910 3922401
129 158 149 6396 108058 19879 475844
173 177 122 6477 110138 8028 136670
29 146 78 6508 110839 10937 212156
96 161 213 6532 111321 909781 79064553
52 145 74 6609 113529 12466 249592
7 47 34 6697 115186 9540 171803
33 137 80 6702 115250 12742 258531
39 104 102 6777 116436 11001 213712
149 150 149 6799 116811 33587 926630
84 92 77 6956 119087 8285 142863
33 47 56 6978 119333 14856 321764
125 138 251 7031 119748 7639 128747
62 110 136 7128 121276 30741 816739
28 63 91 7164 122002 16114 367010
2 122 129 7244 122998 45668 1356063
127 159 135 7284 123455 14553 311214
38 94 55 7293 123613 9333 167511
99 117 90 7397 125352 22574 557223
106 131 145 7425 125707 34054 947573
