48 152 88 5541 64890 8358 111968
16 175 92 5555 65034 5926 70430
63 165 115 5560 65137 7857 102080
55 94 152 5574 65490 18957 355070
81 116 91 5730 68094 126552 4715332
121 131 98 5785 68728 404065 22573748
141 163 117 5791 68844 6466 78581
91 112 93 5916 70326 36375 866687
49 182 67 5924 70429 7343 91913
60 185 112 5926 70430 387805 21471978
47 133 98 6032 72328 19177 359629
8 157 66 6084 73072 11826 183379
61 155 101 6113 73590 12780 203387
84 146 138 6160 74344 16675 293631
84 131 60 6186 74860 19488 367169
134 137 129 6189 74872 13868 228973
16 45 33 6286 76618 9479 134492
81 94 164 6355 77486 16735 294485
85 127 102 6372 77602 77091 2421664
4 58 21 6419 78034 49979 1410922
51 190 151 6466 78581 23624 469867
48 139 99 6477 78752 6960 86991
149 160 155 6522 79538 37141 889218
59 180 139 6662 81627 45010 1199914
31 145 78 6665 81717 16250 285242
94 147 249 6668 81784 9910 142663
37 71 69 6899 86216 8650 118407
22 205 113 6960 86991 9514 135120
90 109 60 7025 87854 7612 97082
9 80 32 7045 88012 9048 128429
9 150 36 7045 88012 7186 89963
80 150 60 7045 88012 22891 452540
18 168 43 7053 88069 11226 169074
54 165 143 7124 89012 12780 203387
141 214 104 7186 89963 18045 330922
58 63 44 7300 91230 14681 245379
90 129 101 7303 91259 13121 210133
62 135 93 7328 91648 11320 170696
78 192 144 7343 91913 9934 143247
75 170 97 7392 92933 32606 746593
16 104 40 7421 93405 18239 336481
104 147 135 7471 94138 12131 190913
126 167 127 7508 94620 8703 119932
42 181 127 7553 95356 11226 169074
179 190 215 7591 96334 8781 121745
106 128 108 7604 96783 60064 1765100
156 212 111 7612 97082 14208 235691
37 171 148 7838 101797 8641 118140
159 186 212 7857 102080 26481 547469
4 70 16 7874 102566 11916 185911
171 205 200 7926 103567 8263 109383
74 126 53 8100 106778 9494 134725
36 130 114 8108 106843 8558 116365
122 141 116 8117 107068 13389 217256
174 234 379 8263 109383 16897 299498
50 205 121 8342 111669 11441 173398
183 184 166 8358 111968 62880 1863218
11 55 25 8385 112736 71223 2200896
6 106 73 8473 114632 24163 483823
89 158 132 8476 114695 19443 366113
34 236 131 8558 116365 12770 203275
149 231 234 8641 118140 63219 1878853
102 121 110 8644 118202 11760 181191
13 210 81 8650 118407 9549 135875
18 107 33 8690 119626 16978 302483
127 226 183 8703 119932 10374 151645
35 228 249 8781 121745 11749 180917
143 226 170 8904 125237 9280 131737
171 213 133 9048 128429 22480 443047
147 157 169 9130 129571 32287 735327
135 251 234 9280 131737 45199 1207013
53 192 107 9419 133820 11826 183379
3 94 142 9463 134303 10446 153208
70 200 46 9479 134492 30301 665060
61 235 95 9494 134725 11410 172542
44 211 124 9514 135120 12722 202599
111 153 137 9519 135214 15902 277028
51 86 59 9522 135232 11270 169853
76 247 148 9549 135875 53039 1508378
148 182 120 9661 138791 12239 193107
61 89 61 9700 139589 14487 241149
24 133 94 9728 140103 12400 197197
33 183 106 9840 141926 11645 178453
98 168 99 9891 142451 19177 359629
144 209 345 9910 142663 32648 747939
67 222 193 9934 143247 72785 2253014
76 89 86 10198 148771 28303 605937
42 164 115 10241 149561 252678 12146418
55 192 80 10247 149612 13752 225652
6 249 191 10374 151645 20223 390536
104 251 195 10399 152222 24926 504530
39 256 173 10446 153208 13260 214148
10 185 107 10584 155923 2118412 210995415
172 186 287 10715 158131 60190 1770763
135 161 189 10743 158571 14397 238984
133 179 173 10795 159598 17267 310691
88 226 213 10808 159906 24421 490706
8 15 13 10815 160108 17290 311302
139 209 331 10888 161762 56768 1649490
45 185 110 10971 164407 48705 1354223
92 177 69 11108 167258 12172 191702
74 100 49 11165 168244 89831 2957954
35 181 141 11211 168870 23207 458554
3 18 14 11215 168910 15141 257085
216 227 170 11226 169074 14874 250213
9 42 24 11232 169130 18032 330768
132 261 121 11270 169853 29274 632085
221 227 220 11320 170696 24989 506275
48 142 177 11398 172278 15746 272790
43 258 110 11410 172542 14565 242666
116 239 187 11441 173398 15670 270631
61 266 148 11645 178453 23224 458846
159 162 217 11663 178932 27619 585765
131 250 268 11749 180917 122886 4563147
7 246 114 11760 181191 31066 693850
30 186 133 11787 182047 17795 325241
195 255 173 11826 183379 20841 404563
120 233 62 11916 185911 14027 232588
38 98 98 11941 186809 18897 353447
67 233 65 12110 190558 22131 434762
183 225 213 12131 190913 14874 250213
163 284 118 12172 191702 14310 237507
6 181 115 12225 192743 17290 311302
148 153 161 12236 193056 42443 1111104
94 263 259 12239 193107 23624 469867
45 178 46 12350 195984 84168 2725564
180 265 216 12400 197197 13769 225962
33 131 47 12625 201346 16142 282466
52 259 164 12722 202599 25915 530645
123 244 179 12770 203275 28626 613970
196 217 244 12780 203387 14681 245379
81 86 50 12835 205005 23252 459711
68 236 119 12899 206332 88390 2881081
13 138 120 12919 206600 16230 284825
55 209 262 13121 210133 132791 5039133
55 220 114 13121 210133 16735 294485
209 220 350 13121 210133 18096 332307
8 195 73 13162 211519 14800 248657
128 275 216 13260 214148 69217 2118744
20 220 105 13281 214628 13370 216793
168 323 137 13370 216793 16250 285242
56 237 150 13389 217256 15436 265181
75 132 85 13463 219372 22346 439834
76 205 166 13494 220115 53604 1530031
165 186 204 13511 220681 428393 24481379
82 212 74 13578 222430 14401 239017
14 142 170 13644 223595 18668 348801
60 154 126 13726 225133 17240 309999
102 114 84 13740 225366 20701 401057
4 272 83 13752 225652 31088 694511
266 310 322 13769 225962 34865 815623
146 199 226 13868 228973 18045 330922
184 301 150 14027 232588 24481 492494
209 230 360 14208 235691 93408 3110513
34 70 30 14304 237407 32890 756832
98 305 185 14310 237507 16729 294358
172 278 361 14397 238984 15141 257085
68 329 79 14401 239017 20841 404563
28 264 83 14487 241149 19144 358927
121 293 189 14565 242666 20701 401057
219 314 288 14681 245379 19963 383221
18 321 84 14800 248657 58473 1713165
288 304 383 14874 250213 27065 569348
118 132 118 14921 251626 78903 2505023
227 321 200 14976 252834 32406 739429
81 141 93 15052 255032 19443 366113
8 214 43 15067 255452 164220 6761818
287 340 375 15141 257085 149425 5984107
96 310 268 15188 258561 26527 549282
150 165 121 15387 264226 90692 2992506
247 325 231 15436 265181 116409 4252550
225 234 335 15514 267074 16142 282466
38 110 114 15542 267650 17534 319335
52 226 167 15582 268564 25452 521495
54 294 241 15670 270631 28980 622915
237 292 293 15746 272790 29713 647015
36 171 129 15823 275070 18286 338423
85 154 152 15861 275911 17795 325241
143 260 180 15902 277028 135841 5204887
311 355 382 16142 282466 33737 788230
63 317 146 16230 284825 17131 306353
