0	20362920	global8192	1	1374771	8192	3	3	4	13089	5989277
0	20362920	local32	1	17438483	104207	25	20	32	13274	8651112
1	20362921	global8192	1	1615256	8192	1	3	3	13093	7327382
1	20362921	local32	1	12822139	71917	19	29	32	13231	7222028
2	20362922	global8192	1	1649404	8192	3	2	3	13092	7971578
2	20362922	local32	1	13330187	81105	24	25	32	13231	6509056
3	20362923	global8192	1	1518501	8192	0	0	0	13091	7077181
3	20362923	local32	1	19306992	115749	23	25	32	13302	6904073
4	20362924	global8192	1	1523292	8192	1	1	1	13091	7413918
4	20362924	local32	1	21783692	131754	23	27	32	13310	7045424
5	20362925	global8192	1	1624962	8192	1	1	2	13088	6805044
5	20362925	local32	1	16080122	92135	25	21	32	13271	6767127
6	20362926	global8192	1	1548305	8192	2	2	2	13090	7283063
6	20362926	local32	1	17984469	95224	25	23	32	13255	8246327
7	20362927	global8192	1	1511988	8192	2	0	2	13091	7378562
7	20362927	local32	1	20196945	118108	22	24	32	13300	5761293
8	20362928	global8192	1	1411889	8192	0	0	0	13085	6245321
8	20362928	local32	1	18888924	109795	27	23	32	13278	7712893
9	20362929	global8192	1	1362128	8192	0	1	1	13095	6999086
9	20362929	local32	1	20012900	118576	24	23	32	13299	6849974
10	20362930	global8192	1	1745149	8192	1	0	1	13091	8154143
10	20362930	local32	1	18519558	110527	19	25	32	13281	6457219
11	20362931	global8192	1	1631870	8192	1	1	2	13091	7106068
11	20362931	local32	1	18771628	112706	24	19	32	13290	6186300
12	20362932	global8192	1	1657101	8192	1	2	2	13093	7322511
12	20362932	local32	1	14560949	84114	22	25	32	13238	6944025
13	20362933	global8192	1	1541517	8192	1	1	1	13089	7904601
13	20362933	local32	1	17947545	102966	27	22	32	13284	8229847
14	20362934	global8192	1	1528879	8192	2	1	2	13090	6442557
14	20362934	local32	1	17276668	100835	26	21	32	13283	6384501
15	20362935	global8192	1	1535303	8192	2	3	3	13093	7376167
15	20362935	local32	1	13786110	85388	22	27	32	13248	6577984
16	20362936	global8192	1	1506057	8192	0	1	1	13094	8430337
16	20362936	local32	1	15936288	89785	19	27	32	13253	6082763
17	20362937	global8192	1	1274882	8192	2	2	3	13087	6097078
17	20362937	local32	1	15820346	99977	25	23	32	13261	7103079
18	20362938	global8192	1	1384351	8192	3	3	4	13092	7441353
18	20362938	local32	1	20497300	122811	24	23	32	13318	6335445
19	20362939	global8192	1	1511709	8192	1	0	1	13088	6284131
19	20362939	local32	1	19771663	117552	18	25	32	13309	7523231
20	20362940	global8192	1	1308076	8192	1	2	2	13090	5395076
20	20362940	local32	1	17658234	105035	21	26	32	13289	7874201
21	20362941	global8192	1	1427464	8192	3	4	5	13091	7529856
21	20362941	local32	1	20694398	119377	24	21	32	13311	7507439
22	20362942	global8192	1	1551596	8192	2	2	3	13094	7425418
22	20362942	local32	1	15304362	84826	20	18	32	13240	8545834
23	20362943	global8192	1	1449793	8192	2	2	2	13091	6325523
23	20362943	local32	1	21197676	121695	26	25	32	13314	6340283
24	20362944	global8192	1	1553163	8192	2	3	3	13093	7903799
24	20362944	local32	1	17292716	94610	24	21	32	13254	6625576
25	20362945	global8192	1	1531346	8192	1	0	1	13096	7445878
25	20362945	local32	1	14934542	91660	24	20	32	13254	7332876
26	20362946	global8192	1	1366399	8192	3	3	4	13091	6827977
26	20362946	local32	1	22824886	138322	23	22	32	13362	6860442
27	20362947	global8192	1	1478148	8192	1	1	1	13092	6371020
27	20362947	local32	1	19054992	107673	22	26	32	13282	6201589
28	20362948	global8192	1	1290610	8192	3	3	3	13086	5903578
28	20362948	local32	1	17223653	100424	27	26	32	13267	7051799
29	20362949	global8192	1	1433697	8192	2	3	4	13096	7307361
29	20362949	local32	1	18225935	112136	22	27	32	13294	5312653
30	20362950	global8192	1	1453931	8192	1	1	1	13090	6496407
30	20362950	local32	1	17732935	98959	24	22	32	13282	8145430
31	20362951	global8192	1	1455176	8192	1	3	3	13092	7933412
31	20362951	local32	1	14436873	85803	23	28	32	13239	6763538
