0	20367920	global8192	1	1277398	8192	0	1	1	16588	7697937
0	20367920	local32	1	16038986	116433	22	20	32	16853	5747954
1	20367921	global8192	1	1033557	8192	1	2	3	16585	4298264
1	20367921	local32	1	16521483	127537	20	27	32	16873	7111125
2	20367922	global8192	1	1118763	8192	1	1	1	16593	6814034
2	20367922	local32	1	11972252	95565	22	28	32	16812	7064658
3	20367923	global8192	1	1292890	8192	1	1	1	16587	9838633
3	20367923	local32	1	15728086	113937	25	18	32	16832	7484690
4	20367924	global8192	1	1202334	8192	2	1	2	16588	6427565
4	20367924	local32	1	20821260	150179	28	21	32	16962	7317432
5	20367925	global8192	1	1050427	8192	3	2	3	16586	6760170
5	20367925	local32	1	13271697	101878	28	20	32	16823	6088342
6	20367926	global8192	1	1198584	8192	1	2	2	16590	6387545
6	20367926	local32	1	11801383	83566	25	23	32	16778	7049538
7	20367927	global8192	1	1159661	8192	3	3	3	16592	7053986
7	20367927	local32	1	19893873	139020	23	26	32	16926	4472662
8	20367928	global8192	1	1128922	8192	2	3	3	16587	6444703
8	20367928	local32	1	14589659	109130	23	29	32	16831	7592628
9	20367929	global8192	1	1186948	8192	0	0	0	16591	7410637
9	20367929	local32	1	16625866	115274	25	22	32	16855	7567203
10	20367930	global8192	1	1094678	8192	2	2	2	16590	7970947
10	20367930	local32	1	22995731	176494	23	27	32	17032	7454734
11	20367931	global8192	1	981440	8192	2	1	2	16596	7312355
11	20367931	local32	1	14939998	114375	28	20	32	16846	7256124
12	20367932	global8192	1	1102623	8192	1	2	2	16589	7411038
12	20367932	local32	1	15046134	111218	28	24	32	16836	6692637
13	20367933	global8192	1	1159438	8192	2	2	2	16589	5537865
13	20367933	local32	1	16954057	119425	29	25	32	16869	8653693
14	20367934	global8192	1	1288018	8192	1	1	1	16587	7276329
14	20367934	local32	1	19162228	141392	23	23	32	16913	8250949
15	20367935	global8192	1	1120113	8192	1	0	1	16586	7373534
15	20367935	local32	1	21594870	158674	25	27	32	16965	5114813
16	20367936	global8192	1	1227325	8192	1	0	1	16586	6841464
16	20367936	local32	1	20620370	149013	18	24	32	16951	5743240
17	20367937	global8192	1	1131696	8192	2	2	3	16589	6920739
17	20367937	local32	1	22714109	164761	25	25	32	16969	5539849
18	20367938	global8192	1	943192	8192	2	2	2	16586	5605527
18	20367938	local32	1	21812541	156768	23	26	32	16950	6251498
19	20367939	global8192	1	1158423	8192	0	0	0	16586	7378360
19	20367939	local32	1	19566732	149531	27	23	32	16948	7346832
20	20367940	global8192	1	1268279	8192	5	5	6	16592	7131368
20	20367940	local32	1	18034274	136268	20	25	32	16922	7295845
21	20367941	global8192	1	1039803	8192	3	3	3	16588	5255696
21	20367941	local32	1	18784250	140696	24	27	32	16906	5911223
22	20367942	global8192	1	1160801	8192	1	1	1	16590	7004432
22	20367942	local32	1	14079083	105319	24	27	32	16810	5997257
23	20367943	global8192	1	1070797	8192	0	0	0	16590	5527730
23	20367943	local32	1	18855415	135711	23	25	32	16901	6226655
24	20367944	global8192	1	1093862	8192	2	3	3	16581	5687989
24	20367944	local32	1	21513937	154078	24	26	32	16940	6604654
25	20367945	global8192	1	1042708	8192	2	2	2	16586	4565679
25	20367945	local32	1	14613029	117631	23	29	32	16877	6898323
26	20367946	global8192	1	1384056	8192	1	1	1	16594	7466137
26	20367946	local32	1	21610021	155861	28	23	32	16925	5924953
27	20367947	global8192	1	1156161	8192	2	2	2	16584	6562408
27	20367947	local32	1	18817269	130056	25	22	32	16888	7787214
28	20367948	global8192	1	1423849	8192	2	2	2	16589	6616274
28	20367948	local32	1	17361443	127302	25	25	32	16888	7938900
29	20367949	global8192	1	1262870	8192	1	0	1	16585	7545639
29	20367949	local32	1	18619245	128136	22	30	32	16879	6711064
30	20367950	global8192	1	1026854	8192	2	3	3	16585	5900501
30	20367950	local32	1	11470778	86914	24	23	32	16782	6277387
31	20367951	global8192	1	1225143	8192	3	4	4	16588	7393680
31	20367951	local32	1	16613362	124463	21	23	32	16883	8137526
