6 592 25 382 128 30
-1 -1 1 0 0 2 1
-1 -1 1 0 0 2 1
0 1 2 2 1 5 2
0 2 3 5 2 14 15
1 2 3 5 2 8 5
2 4 5 8 5 29 31
0 3 4 14 15 36 51
1 4 4 17 19 50 81
0 4 4 22 25 29 31
3 4 6 22 25 55 89
4 5 8 29 31 88 222
4 8 7 29 31 0 0
5 8 9 29 31 55 89
1 6 5 36 51 44 61
1 13 6 44 61 124 364
6 13 9 44 61 73 182
7 8 8 50 81 88 222
9 12 15 55 89 65 123
7 17 19 65 123 0 0
6 15 13 73 182 0 0
6 7 8 75 190 106 288
2 15 11 80 199 0 0
10 16 16 88 222 121 345
9 15 15 93 247 0 0
6 20 12 106 288 118 323
7 20 12 106 288 0 0
10 13 13 115 312 0 0
8 24 16 118 323 0 0
15 22 25 121 345 0 0
5 14 11 124 364 0 0
3 2 3 6 3 2 3 9
