6 5389712 24 485488051 4194304 14512
-1 -1 1 0 0 2 1
-1 -1 1 0 0 2 1
0 1 2 2 1 5 2
0 2 3 5 2 13 9
1 2 3 5 2 29 40
0 3 4 13 9 17 16
2 3 5 13 9 17 16
5 6 9 17 16 29 40
4 7 12 29 40 43 80
0 7 10 33 53 54 121
4 8 15 43 80 75 162
1 4 4 50 116 85 213
1 9 11 54 121 85 213
3 4 6 71 159 124 360
3 10 18 75 162 216 823
8 11 16 85 213 127 369
8 12 23 85 213 145 461
11 12 15 85 213 103 296
5 17 19 103 296 198 728
8 13 18 124 360 170 561
1 15 17 127 369 637 3542
10 12 26 139 427 281 1230
13 16 29 145 461 172 562
1 5 5 152 534 216 823
12 19 29 170 561 256 1098
0 22 30 172 562 1110 7468
7 19 27 181 620 235 970
1 18 20 198 728 341 1538
14 17 33 216 823 311 1360
14 23 23 216 823 671 3774
17 23 20 216 823 362 1622
7 11 13 225 931 671 3774
23 26 32 235 970 407 1829
5 26 31 250 1066 652 3634
14 24 47 256 1098 956 6215
6 17 20 279 1225 544 2873
8 21 38 281 1230 1264 9138
2 28 35 311 1360 472 2300
17 24 44 325 1469 801 4818
5 27 24 341 1538 462 2254
9 17 25 356 1610 1007 6665
26 30 47 362 1622 407 1829
18 24 48 380 1734 1449 10431
7 32 41 407 1829 2136 16978
7 41 56 407 1829 767 4399
32 41 79 407 1829 987 6403
9 19 28 440 2144 519 2677
7 8 21 459 2247 767 4399
12 39 35 462 2254 1042 6903
14 27 38 469 2294 565 3025
21 37 61 472 2300 676 3826
9 28 43 497 2560 1042 6903
3 41 50 506 2606 860 5465
9 27 30 510 2626 787 4652
26 46 55 519 2677 834 5193
9 39 34 530 2765 16497 281615
32 35 52 544 2873 2321 18684
30 49 58 565 3025 592 3193
11 57 62 592 3193 915 5929
8 35 32 601 3296 6596 75185
7 46 37 620 3445 1190 8202
39 49 62 629 3493 834 5193
1 20 18 637 3542 5694 62857
2 33 33 652 3634 1196 8260
29 31 36 671 3774 1110 7468
20 50 78 676 3826 1222 8619
24 32 61 712 4125 1498 10901
7 18 28 728 4204 1546 11249
1 57 59 736 4243 1064 7113
8 49 50 760 4382 787 4652
44 47 77 767 4399 1954 14943
53 69 80 787 4652 2050 15855
38 53 74 801 4818 1119 7570
54 61 117 834 5193 6259 70397
52 69 100 860 5465 1417 10051
6 29 28 865 5573 1190 8202
5 58 66 915 5929 3696 35339
34 39 71 956 6215 24286 464223
13 53 36 984 6388 1384 9860
2 45 81 987 6403 1812 13779
28 40 58 1007 6665 3021 26031
48 51 78 1042 6903 1699 12393
1 68 60 1064 7113 2285 18291
25 64 66 1110 7468 1147 7901
35 72 94 1119 7570 1668 12165
10 83 81 1147 7901 3669 34779
60 75 65 1190 8202 17358 302025
10 16 38 1193 8238 1449 10431
63 83 99 1196 8260 2239 17850
49 65 116 1222 8619 2451 19857
12 37 46 1256 9086 2087 16414
35 36 58 1264 9138 1330 9482
13 50 67 1303 9387 2087 16414
8 57 70 1328 9479 2814 23369
75 91 86 1330 9482 1886 14378
14 78 54 1384 9860 73140 2119085
23 78 41 1384 9860 4020 39478
21 48 61 1413 10028 1584 11446
4 74 103 1417 10051 3346 30431
42 87 86 1449 10431 1605 11591
7 40 34 1467 10699 12840 195042
66 72 135 1498 10901 2993 25624
22 29 52 1542 11235 6245 70276
18 67 47 1546 11249 3661 34674
33 97 92 1584 11446 3976 38729
61 99 148 1605 11591 1699 12393
12 54 66 1640 12009 2537 20588
5 84 98 1668 12165 2629 21328
81 105 226 1699 12393 4383 44363
3 30 23 1715 12817 5215 57195
58 83 128 1766 13388 2050 15855
44 49 94 1785 13581 1964 15025
41 79 128 1812 13779 6533 74083
17 28 48 1821 13884 1925 14788
7 61 71 1845 14151 6533 74083
18 25 49 1859 14231 2136 16978
14 94 104 1886 14378 2840 23579
4 113 51 1925 14788 2174 17388
50 70 138 1954 14943 4258 42205
58 111 156 1964 15025 3430 31476
31 33 44 2038 15793 5823 64535
47 53 51 2048 15854 3965 38628
71 110 208 2050 15855 2840 23579
90 92 113 2087 16414 2974 25389
43 115 90 2136 16978 3021 26031
33 117 82 2174 17388 4182 41238
25 79 111 2208 17669 13857 216911
14 88 117 2239 17850 7523 89054
29 30 43 2258 18067 23561 448162
70 82 137 2285 18291 5101 54397
28 56 85 2321 18684 2338 18837
90 130 131 2338 18837 2605 20987
46 54 83 2404 19427 3510 33049
7 17 24 2411 19460 3087 27011
88 90 145 2427 19541 4721 49201
54 88 154 2443 19677 3426 31447
28 89 149 2451 19857 2667 21943
38 106 110 2537 20588 2786 23048
56 117 103 2571 20800 10663 150777
10 131 146 2605 20987 7593 90008
79 107 179 2629 21328 3145 27567
27 36 58 2634 21476 2939 25115
10 30 35 2645 21697 6975 82716
48 136 184 2667 21943 3874 37060
4 20 20 2715 22566 3225 28858
5 37 39 2722 22591 5481 60663
11 137 114 2786 23048 5509 60856
17 26 42 2795 23168 12973 197257
61 117 113 2801 23214 4674 47788
43 93 111 2814 23369 4843 51645
116 122 312 2840 23579 36807 811843
21 141 84 2939 25115 52930 1370758
40 123 138 2974 25389 3300 29791
71 101 215 2993 25624 5104 54422
80 124 148 3021 26031 7900 95742
45 88 178 3023 26064 3145 27567
113 133 72 3087 27011 3247 29204
19 64 54 3129 27460 5481 60663
140 155 357 3145 27567 14115 223558
81 82 138 3206 28683 101761 3361388
94 144 106 3225 28858 7773 93350
67 156 100 3247 29204 5939 66031
36 72 112 3275 29606 8109 99621
65 152 216 3300 29791 3474 32342
9 83 76 3331 30314 3988 38876
98 140 282 3346 30431 8261 102120
38 135 198 3426 31447 5957 66197
80 119 214 3430 31476 3903 37423
0 163 217 3474 32342 7057 83531
64 132 119 3510 33049 5393 59556
15 136 165 3544 33618 277515 12838297
2 25 32 3577 34160 7894 95721
71 133 104 3645 34583 4387 44476
103 122 255 3661 34674 6654 76210
14 85 99 3669 34779 4342 43888
115 119 205 3675 34853 6845 79584
34 37 82 3694 35332 4135 40692
25 76 96 3696 35339 5792 63946
25 68 89 3775 36316 5571 61483
19 152 156 3791 36496 23547 447873
21 24 55 3851 36974 5045 53904
43 110 169 3870 37040 9487 126235
2 143 186 3874 37060 22994 433886
111 167 308 3903 37423 86982 2740022
8 32 44 3936 38203 9060 118089
67 121 79 3965 38628 4784 50622
104 156 164 3976 38729 5960 66249
40 106 91 3984 38833 5289 58270
144 164 96 3988 38876 9909 135757
14 96 59 4020 39478 5578 61589
43 50 102 4076 40211 27394 547449
63 131 164 4106 40436 5104 54422
23 83 71 4114 40511 4263 42258
132 176 165 4135 40692 9131 119485
9 125 92 4182 41238 5367 59234
71 119 236 4191 41333 4263 42258
117 118 189 4258 42205 6683 77074
192 195 307 4263 42258 4671 47726
25 101 165 4299 43209 5154 55732
25 174 129 4342 43888 42706 1024821
20 108 243 4383 44363 6860 79912
99 172 190 4387 44476 4579 46634
38 80 102 4466 45830 53406 1384447
78 85 117 4498 46180 39426 908398
37 76 101 4573 46601 13925 219105
69 201 240 4579 46634 158809 6117928
85 174 180 4642 47479 20256 375626
71 90 126 4645 47511 10454 146756
88 197 406 4671 47726 483310 27472301
53 148 143 4674 47788 59432 1605856
